Md;NN;EE;VV;NE;NV;EV;HH;LL;AA;HL;HA;LA
4830;1758,6764;184,4383;114,6193;-449,2671;-22,4702;-60,4798;157,9080;1877,8560;21,9700;-7,4819;10,7435;-0,8566
4860;1792,3410;187,8092;116,7480;-457,9278;-22,8572;-61,4956;160,7085;1913,8216;22,3680;-7,6145;10,8257;-0,8644
4890;1826,3254;191,2126;118,8971;-466,6708;-23,2474;-62,5190;163,5341;1950,1290;22,7720;-7,7483;10,9078;-0,8722
4920;1860,6298;194,6485;121,0666;-475,4960;-23,6406;-63,5501;166,3846;1986,7783;23,1821;-7,8832;10,9897;-0,8799
4950;1895,2541;198,1170;123,2564;-484,4036;-24,0369;-64,5887;169,2600;2023,7693;23,5983;-8,0194;11,0715;-0,8877
4980;1930,1984;201,6182;125,4666;-493,3934;-24,4363;-65,6349;172,1604;2061,1021;24,0206;-8,1566;11,1531;-0,8955
5010;1965,4626;205,1520;127,6972;-502,4654;-24,8387;-66,6885;175,0858;2098,7768;24,4491;-8,2951;11,2346;-0,9033
5040;2001,0467;208,7185;129,9483;-511,6197;-25,2442;-67,7497;178,0362;2136,7933;24,8839;-8,4347;11,3159;-0,9111
5070;2036,9507;212,3178;132,2197;-520,8562;-25,6528;-68,8183;181,0116;2175,1516;25,3251;-8,5755;11,3972;-0,9189
5100;2073,1747;215,9498;134,5116;-530,1749;-26,0643;-69,8944;184,0119;2213,8517;25,7726;-8,7175;11,4782;-0,9267
5130;2110,5032;219,6521;136,9035;-539,7938;-26,4844;-70,9975;185,4636;2253,7371;27,8581;-8,7988;19,8715;-1,3951
5160;2149,6648;223,4254;139,3800;-549,9257;-26,9032;-72,0933;186,0670;2295,5940;30,8091;-8,8537;28,2610;-1,8709
5190;2190,5294;227,2514;141,9374;-560,5388;-27,3175;-73,1745;185,8157;2339,2841;34,6184;-8,8806;36,5555;-2,3524
5220;2232,9504;231,1133;144,5692;-571,5962;-27,7247;-74,2350;184,7125;2384,6508;39,2696;-8,8781;44,6672;-2,8379
5250;2276,7655;234,9941;147,2680;-583,0564;-28,1219;-75,2687;182,7692;2431,5210;44,7375;-8,8447;52,5095;-3,3253
5280;2321,7983;238,8763;150,0263;-594,8739;-28,5063;-76,2697;180,0067;2479,7059;50,9883;-8,7795;59,9976;-3,8126
5310;2367,8592;242,7416;152,8358;-606,9993;-28,8753;-77,2317;176,4546;2529,0030;57,9790;-8,6815;67,0497;-4,2974
5340;2414,7475;246,5723;155,6880;-619,3799;-29,2262;-78,1486;172,1512;2579,1972;65,6593;-8,5502;73,5877;-4,7775
5370;2462,2526;250,3505;158,5737;-631,9601;-29,5566;-79,0144;167,1429;2630,0633;73,9705;-8,3854;79,5380;-5,2504
5400;2510,1567;254,0584;161,4837;-644,6820;-29,8643;-79,8232;161,4837;2681,3678;82,8473;-8,1869;84,8327;-5,7136
5430;2558,4505;257,7451;164,3559;-657,5255;-30,1601;-80,6003;164,3559;2733,0952;83,1004;-8,2715;85,6599;-5,7426
5460;2607,2353;261,4687;167,2559;-670,5001;-30,4558;-81,3741;167,2559;2785,3488;83,3552;-8,3569;86,4839;-5,7716
5490;2656,5112;265,2294;170,1836;-683,6057;-30,7525;-82,1477;170,1836;2838,1286;83,6121;-8,4432;87,3079;-5,8005
5520;2706,2782;269,0272;173,1390;-696,8425;-31,0500;-82,9210;173,1390;2891,4346;83,8708;-8,5305;88,1319;-5,8295
5550;2756,5363;272,8621;176,1222;-710,2102;-31,3485;-83,6941;176,1222;2945,2668;84,1316;-8,6186;88,9559;-5,8585
5580;2807,2855;276,7340;179,1330;-723,7091;-31,6477;-84,4670;179,1330;2999,6253;84,3943;-8,7077;89,7799;-5,8874
5610;2858,5259;280,6430;182,1716;-737,3390;-31,9479;-85,2396;182,1716;3054,5100;84,6589;-8,7977;90,6039;-5,9164
5640;2910,2573;284,5891;185,2378;-751,1000;-32,2489;-86,0120;185,2378;3109,9208;84,9255;-8,8885;91,4279;-5,9453
5670;2962,4798;288,5723;188,3318;-764,9921;-32,5508;-86,7842;188,3318;3165,8580;85,1941;-8,9803;92,2519;-5,9743
5700;3015,1934;292,5926;191,4535;-779,0152;-32,8536;-87,5561;191,4535;3222,3213;85,4646;-9,0730;93,0759;-6,0033
5730;3068,3981;296,6499;194,6029;-793,1693;-33,1573;-88,3278;194,6029;3279,3108;85,7371;-9,1665;93,8999;-6,0322
5760;3122,0939;300,7443;197,7801;-807,4546;-33,4618;-89,0993;197,7801;3336,8266;86,0116;-9,2610;94,7239;-6,0612
5790;3176,2808;304,8758;200,9849;-821,8709;-33,7672;-89,8705;200,9849;3394,8685;86,2880;-9,3564;95,5478;-6,0902
5820;3230,9587;309,0443;204,2175;-836,4183;-34,0735;-90,6415;204,2175;3453,4367;86,5664;-9,4527;96,3718;-6,1191
5850;3286,1278;313,2500;207,4777;-851,0967;-34,3806;-91,4123;207,4777;3512,5311;86,8467;-9,5499;97,1958;-6,1481
5880;3341,7880;317,4927;210,7657;-865,9062;-34,6887;-92,1828;210,7657;3572,1518;87,1290;-9,6480;98,0198;-6,1771
5910;3397,9393;321,7725;214,0814;-880,8468;-34,9975;-92,9531;214,0814;3632,2986;87,4132;-9,7470;98,8438;-6,2060
5940;3454,5817;326,0894;217,4249;-895,9184;-35,3073;-93,7231;217,4249;3692,9716;87,6994;-9,8469;99,6678;-6,2350
5970;3511,7152;330,4433;220,7960;-911,1211;-35,6180;-94,4930;220,7960;3754,1709;87,9876;-9,9477;100,4918;-6,2640
6000;3569,3398;334,8344;224,1949;-926,4548;-35,9295;-95,2625;224,1949;3815,8964;88,2777;-10,0495;101,3158;-6,2929
6030;3627,4554;339,2625;227,6214;-941,9197;-36,2419;-96,0319;227,6214;3878,1481;88,5698;-10,1521;102,1398;-6,3219
6060;3686,0622;343,7277;231,0757;-957,5155;-36,5551;-96,8010;231,0757;3940,9260;88,8639;-10,2556;102,9638;-6,3509
6090;3745,1601;348,2299;234,5577;-973,2425;-36,8693;-97,5699;234,5577;4004,2301;89,1599;-10,3600;103,7878;-6,3798
